2017-10-01 18:23:12.667219|INFO    |ServerLibPriv |   | TeamSpeak 3 Server 3.0.11.3 (2015-04-13 13:26:31)
2017-10-01 18:23:12.668942|INFO    |ServerLibPriv |   | SystemInformation: Linux 4.4.0-96-generic #119-Ubuntu SMP Tue Sep 12 14:59:54 UTC 2017 x86_64 Binary: 64bit
2017-10-01 18:23:12.682143|INFO    |DatabaseQuery |   | dbPlugin name:    SQLite3 plugin, Version 2, (c)TeamSpeak Systems GmbH
2017-10-01 18:23:12.683186|INFO    |DatabaseQuery |   | dbPlugin version: 3.6.21
2017-10-01 18:23:12.684958|INFO    |DatabaseQuery |   | checking database integrity (may take a while)
2017-10-01 18:23:12.704969|WARNING |Accounting    |   | Unable to find valid license key, falling back to limited functionality
2017-10-01 18:23:13.348613|INFO    |              |   | Puzzle precompute time: 627
2017-10-01 18:23:13.350353|INFO    |FileManager   |   | listening on 0.0.0.0:30033
2017-10-01 18:23:13.350441|ERROR   |              |   | TS3ANetwork::ResolveHostName failed error: -2 (Name or service not known) 2
2017-10-01 18:23:13.350465|ERROR   |              |   | Could not open default UDP connection for weblist
2017-10-01 18:23:13.376325|INFO    |CIDRManager   |   | updated query_ip_whitelist ips: 127.0.0.1, 
2017-10-01 18:23:13.376706|INFO    |Query         |   | listening on 0.0.0.0:10011
2017-10-01 20:08:14.110934|ERROR   |              |   | TS3ANetwork::Send failed error: 22
2017-10-01 20:08:14.111064|ERROR   |              |   | TS3ANetwork::Send failed error: 22
2017-10-01 20:08:16.029536|ERROR   |              |   | TS3ANetwork::Connect failed error: 22
2017-10-01 20:08:16.029642|DEVELOP |              |   | UDPConnection::send failed to update target ip
2017-10-01 20:08:16.029725|ERROR   |              |   | TS3ANetwork::Send failed error: 22
2017-10-01 20:08:16.029790|ERROR   |              |   | TS3ANetwork::Send failed error: 22
2017-10-01 20:08:18.032821|ERROR   |              |   | TS3ANetwork::Send failed error: 22
2017-10-01 20:08:18.032954|ERROR   |              |   | TS3ANetwork::Send failed error: 22
2017-10-01 20:18:14.162343|ERROR   |              |   | TS3ANetwork::Send failed error: 22
2017-10-01 20:18:14.162486|ERROR   |              |   | TS3ANetwork::Send failed error: 22
2017-10-01 20:18:16.065434|ERROR   |              |   | TS3ANetwork::Send failed error: 22
2017-10-01 20:18:16.065554|ERROR   |              |   | TS3ANetwork::Send failed error: 22
2017-10-01 20:18:18.084111|ERROR   |              |   | TS3ANetwork::Connect failed error: 22
2017-10-01 20:18:18.084230|DEVELOP |              |   | UDPConnection::send failed to update target ip
2017-10-01 20:18:18.084307|ERROR   |              |   | TS3ANetwork::Send failed error: 22
2017-10-01 20:18:18.084380|ERROR   |              |   | TS3ANetwork::Send failed error: 22
2017-10-01 20:28:14.229659|ERROR   |              |   | TS3ANetwork::Send failed error: 22
2017-10-01 20:28:14.229789|ERROR   |              |   | TS3ANetwork::Send failed error: 22
2017-10-01 20:28:16.032515|ERROR   |              |   | TS3ANetwork::Send failed error: 22
2017-10-01 20:28:16.032650|ERROR   |              |   | TS3ANetwork::Send failed error: 22
2017-10-01 20:28:18.035674|ERROR   |              |   | TS3ANetwork::Send failed error: 22
2017-10-01 20:28:18.035807|ERROR   |              |   | TS3ANetwork::Send failed error: 22
2017-10-01 20:34:40.186088|INFO    |ServerMain    |   | Received signal SIGTERM, shutting down.
