2018-03-23 20:32:07.738370|INFO    |ServerLibPriv |   | TeamSpeak 3 Server 3.0.11.3 (2015-04-13 13:26:31)
2018-03-23 20:32:07.742023|INFO    |ServerLibPriv |   | SystemInformation: Linux 4.4.0-116-generic #140-Ubuntu SMP Mon Feb 12 21:23:04 UTC 2018 x86_64 Binary: 64bit
2018-03-23 20:32:07.751520|INFO    |DatabaseQuery |   | dbPlugin name:    SQLite3 plugin, Version 2, (c)TeamSpeak Systems GmbH
2018-03-23 20:32:07.752571|INFO    |DatabaseQuery |   | dbPlugin version: 3.6.21
2018-03-23 20:32:07.755894|INFO    |DatabaseQuery |   | checking database integrity (may take a while)
2018-03-23 20:32:07.777749|WARNING |Accounting    |   | Unable to find valid license key, falling back to limited functionality
2018-03-23 20:32:08.325822|INFO    |              |   | Puzzle precompute time: 536
2018-03-23 20:32:08.327587|INFO    |FileManager   |   | listening on 0.0.0.0:30033
2018-03-23 20:32:08.327676|ERROR   |              |   | TS3ANetwork::ResolveHostName failed error: -2 (Name or service not known) 2
2018-03-23 20:32:08.327700|ERROR   |              |   | Could not open default UDP connection for weblist
2018-03-23 20:32:08.353647|INFO    |CIDRManager   |   | updated query_ip_whitelist ips: 127.0.0.1, 
2018-03-23 20:32:08.354030|INFO    |Query         |   | listening on 0.0.0.0:10011
2018-04-01 00:02:07.872579|INFO    |VirtualSvrMgr |   | executing monthly interval
2018-04-01 00:02:07.875282|INFO    |VirtualSvrMgr |   | reset virtualserver traffic statistics
2018-05-01 00:02:07.875128|INFO    |VirtualSvrMgr |   | executing monthly interval
2018-05-01 00:02:07.877430|INFO    |VirtualSvrMgr |   | reset virtualserver traffic statistics
2018-06-01 00:02:07.877714|INFO    |VirtualSvrMgr |   | executing monthly interval
2018-06-01 00:02:07.881554|INFO    |VirtualSvrMgr |   | reset virtualserver traffic statistics
2018-07-01 00:02:07.870115|INFO    |VirtualSvrMgr |   | executing monthly interval
2018-07-01 00:02:07.872424|INFO    |VirtualSvrMgr |   | reset virtualserver traffic statistics
2018-07-27 20:09:18.322213|INFO    |ServerMain    |   | Received signal SIGTERM, shutting down.
