2018-08-20 12:25:52.005246|ERROR   |              |   | TS3ANetwork::Send failed error: 111
2018-08-20 12:35:48.733874|ERROR   |              |   | TS3ANetwork::Send failed error: 111
2018-08-20 12:35:50.024934|ERROR   |              |   | TS3ANetwork::Send failed error: 111
2018-08-20 12:35:52.005247|ERROR   |              |   | TS3ANetwork::Send failed error: 111
2018-08-20 12:45:48.834945|ERROR   |              |   | TS3ANetwork::Send failed error: 111
2018-08-20 12:45:50.005245|ERROR   |              |   | TS3ANetwork::Send failed error: 111
2018-08-20 12:45:52.019848|ERROR   |              |   | TS3ANetwork::Send failed error: 111
2018-08-20 12:55:48.929133|ERROR   |              |   | TS3ANetwork::Send failed error: 111
2018-08-20 12:55:50.005246|ERROR   |              |   | TS3ANetwork::Send failed error: 111
2018-08-20 12:55:52.005246|ERROR   |              |   | TS3ANetwork::Send failed error: 111
2018-08-20 13:05:48.961325|ERROR   |              |   | TS3ANetwork::Send failed error: 111
2018-08-20 13:05:50.005246|ERROR   |              |   | TS3ANetwork::Send failed error: 111
2018-08-20 13:05:52.005247|ERROR   |              |   | TS3ANetwork::Send failed error: 111
2018-08-20 13:15:49.058696|ERROR   |              |   | TS3ANetwork::Send failed error: 111
2018-08-20 13:15:51.005247|ERROR   |              |   | TS3ANetwork::Send failed error: 111
2018-08-20 13:15:53.005247|ERROR   |              |   | TS3ANetwork::Send failed error: 111
2018-08-20 13:25:49.041660|ERROR   |              |   | TS3ANetwork::Send failed error: 111
2018-08-20 13:25:51.025242|ERROR   |              |   | TS3ANetwork::Send failed error: 111
2018-08-20 13:25:53.005247|ERROR   |              |   | TS3ANetwork::Send failed error: 111
2018-08-20 13:35:49.038028|ERROR   |              |   | TS3ANetwork::Send failed error: 111
2018-08-20 13:35:51.005247|ERROR   |              |   | TS3ANetwork::Send failed error: 111
2018-08-20 13:35:53.025483|ERROR   |              |   | TS3ANetwork::Send failed error: 111
2018-08-20 13:45:49.143611|ERROR   |              |   | TS3ANetwork::Send failed error: 111
2018-08-20 13:45:51.005246|ERROR   |              |   | TS3ANetwork::Send failed error: 111
2018-08-20 13:45:53.005247|ERROR   |              |   | TS3ANetwork::Send failed error: 111
2018-08-20 13:55:49.153846|ERROR   |              |   | TS3ANetwork::Send failed error: 111
2018-08-20 13:55:51.001246|ERROR   |              |   | TS3ANetwork::Send failed error: 111
2018-08-20 13:55:53.001247|ERROR   |              |   | TS3ANetwork::Send failed error: 111
2018-08-20 14:05:49.133804|ERROR   |              |   | TS3ANetwork::Send failed error: 111
2018-08-20 14:05:51.025507|ERROR   |              |   | TS3ANetwork::Send failed error: 111
2018-08-20 14:05:53.005246|ERROR   |              |   | TS3ANetwork::Send failed error: 111
2018-08-20 14:15:49.244431|ERROR   |              |   | TS3ANetwork::Send failed error: 111
2018-08-20 14:15:51.005245|ERROR   |              |   | TS3ANetwork::Send failed error: 111
2018-08-20 14:15:53.020624|ERROR   |              |   | TS3ANetwork::Send failed error: 111
2018-08-20 14:25:49.334797|ERROR   |              |   | TS3ANetwork::Send failed error: 111
2018-08-20 14:25:51.005247|ERROR   |              |   | TS3ANetwork::Send failed error: 111
2018-08-20 14:25:53.005247|ERROR   |              |   | TS3ANetwork::Send failed error: 111
2018-08-20 14:35:49.351620|ERROR   |              |   | TS3ANetwork::Send failed error: 111
2018-08-20 14:35:51.001246|ERROR   |              |   | TS3ANetwork::Send failed error: 111
2018-08-20 14:35:53.001247|ERROR   |              |   | TS3ANetwork::Send failed error: 111
2018-08-20 14:45:49.337064|ERROR   |              |   | TS3ANetwork::Send failed error: 111
2018-08-20 14:45:51.020544|ERROR   |              |   | TS3ANetwork::Send failed error: 111
2018-08-20 14:45:53.005246|ERROR   |              |   | TS3ANetwork::Send failed error: 111
2018-08-20 14:55:49.335146|ERROR   |              |   | TS3ANetwork::Send failed error: 111
2018-08-20 14:55:51.001247|ERROR   |              |   | TS3ANetwork::Send failed error: 111
2018-08-20 14:55:53.017397|ERROR   |              |   | TS3ANetwork::Send failed error: 111
2018-08-20 15:05:49.427234|ERROR   |              |   | TS3ANetwork::Send failed error: 111
2018-08-20 15:05:51.005247|ERROR   |              |   | TS3ANetwork::Send failed error: 111
2018-08-20 15:05:53.005246|ERROR   |              |   | TS3ANetwork::Send failed error: 111
2018-08-20 15:15:49.470959|ERROR   |              |   | TS3ANetwork::Send failed error: 111
2018-08-20 15:15:51.005245|ERROR   |              |   | TS3ANetwork::Send failed error: 111
2018-08-20 15:15:53.005247|ERROR   |              |   | TS3ANetwork::Send failed error: 111
2018-08-20 15:25:49.448880|ERROR   |              |   | TS3ANetwork::Send failed error: 111
2018-08-20 15:25:51.025351|ERROR   |              |   | TS3ANetwork::Send failed error: 111
2018-08-20 15:25:53.005248|ERROR   |              |   | TS3ANetwork::Send failed error: 111
2018-08-20 15:35:49.425643|ERROR   |              |   | TS3ANetwork::Send failed error: 111
2018-08-20 15:35:51.005247|ERROR   |              |   | TS3ANetwork::Send failed error: 111
2018-08-20 15:35:53.022736|ERROR   |              |   | TS3ANetwork::Send failed error: 111
2018-08-20 15:45:49.534881|ERROR   |              |   | TS3ANetwork::Send failed error: 111
2018-08-20 15:45:51.005247|ERROR   |              |   | TS3ANetwork::Send failed error: 111
2018-08-20 15:45:53.005246|ERROR   |              |   | TS3ANetwork::Send failed error: 111
2018-08-20 15:55:49.660956|ERROR   |              |   | TS3ANetwork::Send failed error: 111
2018-08-20 15:55:51.001247|ERROR   |              |   | TS3ANetwork::Send failed error: 111
2018-08-20 15:55:53.001246|ERROR   |              |   | TS3ANetwork::Send failed error: 111
2018-08-20 16:05:49.636684|ERROR   |              |   | TS3ANetwork::Send failed error: 111
2018-08-20 16:05:51.439270|ERROR   |              |   | TS3ANetwork::Send failed error: 111
2018-08-20 16:05:53.005246|ERROR   |              |   | TS3ANetwork::Send failed error: 111
2018-08-20 16:15:49.742850|ERROR   |              |   | TS3ANetwork::Send failed error: 111
2018-08-20 16:15:51.005245|ERROR   |              |   | TS3ANetwork::Send failed error: 111
2018-08-20 16:15:53.019666|ERROR   |              |   | TS3ANetwork::Send failed error: 111
2018-08-20 16:25:49.745293|ERROR   |              |   | TS3ANetwork::Send failed error: 111
2018-08-20 16:25:51.001247|ERROR   |              |   | TS3ANetwork::Send failed error: 111
2018-08-20 16:25:53.005246|ERROR   |              |   | TS3ANetwork::Send failed error: 111
2018-08-20 16:35:49.760874|ERROR   |              |   | TS3ANetwork::Send failed error: 111
2018-08-20 16:35:51.005246|ERROR   |              |   | TS3ANetwork::Send failed error: 111
2018-08-20 16:35:53.005246|ERROR   |              |   | TS3ANetwork::Send failed error: 111
2018-08-20 16:45:49.739730|ERROR   |              |   | TS3ANetwork::Send failed error: 111
2018-08-20 16:45:51.022406|ERROR   |              |   | TS3ANetwork::Send failed error: 111
2018-08-20 16:45:53.001249|ERROR   |              |   | TS3ANetwork::Send failed error: 111
2018-08-20 16:55:49.832453|ERROR   |              |   | TS3ANetwork::Send failed error: 111
2018-08-20 16:55:51.005247|ERROR   |              |   | TS3ANetwork::Send failed error: 111
2018-08-20 16:55:53.020925|ERROR   |              |   | TS3ANetwork::Send failed error: 111
2018-08-20 17:05:49.831913|ERROR   |              |   | TS3ANetwork::Send failed error: 111
2018-08-20 17:05:51.005246|ERROR   |              |   | TS3ANetwork::Send failed error: 111
2018-08-20 17:05:53.005245|ERROR   |              |   | TS3ANetwork::Send failed error: 111
2018-08-20 17:15:49.847537|ERROR   |              |   | TS3ANetwork::Send failed error: 111
2018-08-20 17:15:51.001247|ERROR   |              |   | TS3ANetwork::Send failed error: 111
2018-08-20 17:15:53.001247|ERROR   |              |   | TS3ANetwork::Send failed error: 111
2018-08-20 17:25:49.939681|ERROR   |              |   | TS3ANetwork::Send failed error: 111
2018-08-20 17:25:51.020109|ERROR   |              |   | TS3ANetwork::Send failed error: 111
2018-08-20 17:25:53.005246|ERROR   |              |   | TS3ANetwork::Send failed error: 111
2018-08-20 17:35:49.936960|ERROR   |              |   | TS3ANetwork::Send failed error: 111
2018-08-20 17:35:51.005247|ERROR   |              |   | TS3ANetwork::Send failed error: 111
2018-08-20 17:35:53.023568|ERROR   |              |   | TS3ANetwork::Send failed error: 111
2018-08-20 17:45:50.041077|ERROR   |              |   | TS3ANetwork::Send failed error: 111
2018-08-20 17:45:52.001247|ERROR   |              |   | TS3ANetwork::Send failed error: 111
2018-08-20 17:45:54.015840|ERROR   |              |   | TS3ANetwork::Send failed error: 111
2018-08-20 17:55:50.047105|ERROR   |              |   | TS3ANetwork::Send failed error: 111
2018-08-20 17:55:52.005248|ERROR   |              |   | TS3ANetwork::Send failed error: 111
2018-08-20 17:55:54.005245|ERROR   |              |   | TS3ANetwork::Send failed error: 111
2018-08-20 18:05:50.053767|ERROR   |              |   | TS3ANetwork::Send failed error: 111
2018-08-20 18:05:52.005247|ERROR   |              |   | TS3ANetwork::Send failed error: 111
2018-08-20 18:05:54.005246|ERROR   |              |   | TS3ANetwork::Send failed error: 111
2018-08-20 18:15:50.044739|ERROR   |              |   | TS3ANetwork::Send failed error: 111
2018-08-20 18:15:52.025240|ERROR   |              |   | TS3ANetwork::Send failed error: 111
2018-08-20 18:15:54.005245|ERROR   |              |   | TS3ANetwork::Send failed error: 111
2018-08-20 18:25:50.042777|ERROR   |              |   | TS3ANetwork::Send failed error: 111
2018-08-20 18:25:52.005248|ERROR   |              |   | TS3ANetwork::Send failed error: 111
2018-08-20 18:25:54.019488|ERROR   |              |   | TS3ANetwork::Send failed error: 111
2018-08-20 18:35:50.144250|ERROR   |              |   | TS3ANetwork::Send failed error: 111
2018-08-20 18:35:52.001247|ERROR   |              |   | TS3ANetwork::Send failed error: 111
2018-08-20 18:35:54.001247|ERROR   |              |   | TS3ANetwork::Send failed error: 111
2018-08-20 18:45:50.253214|ERROR   |              |   | TS3ANetwork::Send failed error: 111
2018-08-20 18:45:52.005247|ERROR   |              |   | TS3ANetwork::Send failed error: 111
2018-08-20 18:45:54.005247|ERROR   |              |   | TS3ANetwork::Send failed error: 111
2018-08-20 18:55:50.329302|ERROR   |              |   | TS3ANetwork::Send failed error: 111
2018-08-20 18:55:52.020752|ERROR   |              |   | TS3ANetwork::Send failed error: 111
2018-08-20 18:55:54.005247|ERROR   |              |   | TS3ANetwork::Send failed error: 111
2018-08-20 19:05:50.342078|ERROR   |              |   | TS3ANetwork::Send failed error: 111
2018-08-20 19:05:52.001247|ERROR   |              |   | TS3ANetwork::Send failed error: 111
2018-08-20 19:05:54.020908|ERROR   |              |   | TS3ANetwork::Send failed error: 111
2018-08-20 19:15:50.440522|ERROR   |              |   | TS3ANetwork::Send failed error: 111
2018-08-20 19:15:52.005247|ERROR   |              |   | TS3ANetwork::Send failed error: 111
2018-08-20 19:15:54.005247|ERROR   |              |   | TS3ANetwork::Send failed error: 111
2018-08-20 19:25:50.465413|ERROR   |              |   | TS3ANetwork::Send failed error: 111
2018-08-20 19:25:52.001246|ERROR   |              |   | TS3ANetwork::Send failed error: 111
2018-08-20 19:25:54.001246|ERROR   |              |   | TS3ANetwork::Send failed error: 111
2018-08-20 19:35:50.537268|ERROR   |              |   | TS3ANetwork::Send failed error: 111
2018-08-20 19:35:52.020326|ERROR   |              |   | TS3ANetwork::Send failed error: 111
2018-08-20 19:35:54.001246|ERROR   |              |   | TS3ANetwork::Send failed error: 111
2018-08-20 19:45:50.534421|ERROR   |              |   | TS3ANetwork::Send failed error: 111
2018-08-20 19:45:52.005245|ERROR   |              |   | TS3ANetwork::Send failed error: 111
2018-08-20 19:45:54.020997|ERROR   |              |   | TS3ANetwork::Send failed error: 111
2018-08-20 19:55:50.547339|ERROR   |              |   | TS3ANetwork::Send failed error: 111
2018-08-20 19:55:52.005247|ERROR   |              |   | TS3ANetwork::Send failed error: 111
2018-08-20 19:55:54.005246|ERROR   |              |   | TS3ANetwork::Send failed error: 111
2018-08-20 20:05:50.664456|ERROR   |              |   | TS3ANetwork::Send failed error: 111
2018-08-20 20:05:52.001247|ERROR   |              |   | TS3ANetwork::Send failed error: 111
2018-08-20 20:05:54.001246|ERROR   |              |   | TS3ANetwork::Send failed error: 111
2018-08-20 20:15:50.723424|ERROR   |              |   | TS3ANetwork::Send failed error: 111
2018-08-20 20:15:52.023517|ERROR   |              |   | TS3ANetwork::Send failed error: 111
2018-08-20 20:15:54.005247|ERROR   |              |   | TS3ANetwork::Send failed error: 111
2018-08-20 20:25:50.825629|ERROR   |              |   | TS3ANetwork::Send failed error: 111
2018-08-20 20:25:52.001246|ERROR   |              |   | TS3ANetwork::Send failed error: 111
2018-08-20 20:25:54.016282|ERROR   |              |   | TS3ANetwork::Send failed error: 111
2018-08-20 20:35:50.832926|ERROR   |              |   | TS3ANetwork::Send failed error: 111
2018-08-20 20:35:52.005246|ERROR   |              |   | TS3ANetwork::Send failed error: 111
2018-08-20 20:35:54.005246|ERROR   |              |   | TS3ANetwork::Send failed error: 111
2018-08-20 20:45:50.852080|ERROR   |              |   | TS3ANetwork::Send failed error: 111
2018-08-20 20:45:52.005246|ERROR   |              |   | TS3ANetwork::Send failed error: 111
2018-08-20 20:45:54.005246|ERROR   |              |   | TS3ANetwork::Send failed error: 111
2018-08-20 20:55:50.835847|ERROR   |              |   | TS3ANetwork::Send failed error: 111
2018-08-20 20:55:52.021695|ERROR   |              |   | TS3ANetwork::Send failed error: 111
2018-08-20 20:55:54.005247|ERROR   |              |   | TS3ANetwork::Send failed error: 111
2018-08-20 21:05:50.937817|ERROR   |              |   | TS3ANetwork::Send failed error: 111
2018-08-20 21:05:52.005249|ERROR   |              |   | TS3ANetwork::Send failed error: 111
2018-08-20 21:05:54.020143|ERROR   |              |   | TS3ANetwork::Send failed error: 111
2018-08-20 21:15:50.940933|ERROR   |              |   | TS3ANetwork::Send failed error: 111
2018-08-20 21:15:52.005246|ERROR   |              |   | TS3ANetwork::Send failed error: 111
2018-08-20 21:15:54.005247|ERROR   |              |   | TS3ANetwork::Send failed error: 111
2018-08-20 21:25:50.968333|ERROR   |              |   | TS3ANetwork::Send failed error: 111
2018-08-20 21:25:52.001246|ERROR   |              |   | TS3ANetwork::Send failed error: 111
2018-08-20 21:25:54.001245|ERROR   |              |   | TS3ANetwork::Send failed error: 111
2018-08-20 21:35:50.929654|ERROR   |              |   | TS3ANetwork::Send failed error: 111
2018-08-20 21:35:52.026479|ERROR   |              |   | TS3ANetwork::Send failed error: 111
2018-08-20 21:35:54.001247|ERROR   |              |   | TS3ANetwork::Send failed error: 111
2018-08-20 21:45:51.050814|ERROR   |              |   | TS3ANetwork::Send failed error: 111
2018-08-20 21:45:53.016071|ERROR   |              |   | TS3ANetwork::Send failed error: 111
2018-08-20 21:45:55.001247|ERROR   |              |   | TS3ANetwork::Send failed error: 111
2018-08-20 21:55:51.039910|ERROR   |              |   | TS3ANetwork::Send failed error: 111
2018-08-20 21:55:53.005246|ERROR   |              |   | TS3ANetwork::Send failed error: 111
2018-08-20 21:55:55.028821|ERROR   |              |   | TS3ANetwork::Send failed error: 111
2018-08-20 22:05:51.040262|ERROR   |              |   | TS3ANetwork::Send failed error: 111
2018-08-20 22:05:53.005247|ERROR   |              |   | TS3ANetwork::Send failed error: 111
2018-08-20 22:05:55.005247|ERROR   |              |   | TS3ANetwork::Send failed error: 111
2018-08-20 22:15:51.064609|ERROR   |              |   | TS3ANetwork::Send failed error: 111
2018-08-20 22:15:53.005245|ERROR   |              |   | TS3ANetwork::Send failed error: 111
2018-08-20 22:15:55.005246|ERROR   |              |   | TS3ANetwork::Send failed error: 111
2018-08-20 22:25:51.040293|ERROR   |              |   | TS3ANetwork::Send failed error: 111
2018-08-20 22:25:53.028092|ERROR   |              |   | TS3ANetwork::Send failed error: 111
2018-08-20 22:25:55.005246|ERROR   |              |   | TS3ANetwork::Send failed error: 111
2018-08-20 22:35:51.132866|ERROR   |              |   | TS3ANetwork::Send failed error: 111
2018-08-20 22:35:53.001247|ERROR   |              |   | TS3ANetwork::Send failed error: 111
2018-08-20 22:35:55.019567|ERROR   |              |   | TS3ANetwork::Send failed error: 111
2018-08-20 22:45:51.121853|ERROR   |              |   | TS3ANetwork::Send failed error: 111
2018-08-20 22:45:53.005246|ERROR   |              |   | TS3ANetwork::Send failed error: 111
2018-08-20 22:45:55.005246|ERROR   |              |   | TS3ANetwork::Send failed error: 111
2018-08-20 22:55:51.141345|ERROR   |              |   | TS3ANetwork::Send failed error: 111
2018-08-20 22:55:53.005246|ERROR   |              |   | TS3ANetwork::Send failed error: 111
2018-08-20 22:55:55.005247|ERROR   |              |   | TS3ANetwork::Send failed error: 111
2018-08-20 23:05:51.137832|ERROR   |              |   | TS3ANetwork::Send failed error: 111
2018-08-20 23:05:53.023813|ERROR   |              |   | TS3ANetwork::Send failed error: 111
2018-08-20 23:05:55.005245|ERROR   |              |   | TS3ANetwork::Send failed error: 111
2018-08-20 23:15:51.146028|ERROR   |              |   | TS3ANetwork::Send failed error: 111
